TIME,BID,BIDDEPTH,BIDDEPTHT,NUMBIDS,OFFER,OFFERDEPTH,OFFERDEPTHT,NUMOFFERS,OPEN,HIGH,LOW,LAST,CHANGE,QTY,VALUE
10:20:36,5181.500000,80.000000,33859.000000,585.000000,5183.000000,430.000000,158973.000000,779.000000,5177.000000,5200.500000,5158.500000,5182.500000,4.000000,5619.500000,4916.500000
10:21:36,5180.000000,8.000000,33100.000000,577.000000,5182.000000,520.000000,160315.000000,801.000000,5177.000000,5200.500000,5158.500000,5181.500000,3.000000,5619.500000,4916.500000
10:22:36,5184.000000,45.000000,34105.000000,603.000000,5185.000000,100.000000,159111.000000,787.000000,5177.000000,5200.500000,5158.500000,5183.500000,5.000000,5619.500000,4916.500000
10:23:36,5184.500000,12.000000,33887.000000,603.000000,5186.000000,438.000000,159242.000000,794.000000,5177.000000,5200.500000,5158.500000,5183.500000,5.000000,5619.500000,4916.500000
10:24:36,5180.500000,80.000000,33257.000000,595.000000,5182.500000,270.000000,160246.000000,823.000000,5177.000000,5200.500000,5158.500000,5181.000000,2.500000,5619.500000,4916.500000
10:25:36,5179.500000,55.000000,33266.000000,596.000000,5181.500000,370.000000,161516.000000,827.000000,5177.000000,5200.500000,5158.500000,5178.500000,0.000000,5619.500000,4916.500000
10:26:36,5170.500000,111.000000,31449.000000,574.000000,5172.000000,850.000000,163278.000000,851.000000,5177.000000,5200.500000,5158.500000,5171.000000,-7.500000,5619.500000,4916.500000
10:27:36,5164.000000,24.000000,29108.000000,561.000000,5165.500000,642.000000,164146.000000,870.000000,5177.000000,5200.500000,5158.500000,5165.000000,-13.500000,5619.500000,4916.500000
10:28:36,5164.000000,10.000000,28885.000000,573.000000,5165.500000,448.000000,165411.000000,883.000000,5177.000000,5200.500000,5158.500000,5165.000000,-13.500000,5619.500000,4916.500000
10:29:36,5162.000000,109.000000,28806.000000,576.000000,5163.000000,606.000000,164526.000000,893.000000,5177.000000,5200.500000,5158.500000,5163.000000,-15.500000,5619.500000,4916.500000
10:30:36,5162.000000,75.000000,29743.000000,585.000000,5162.500000,2.000000,164381.000000,900.000000,5177.000000,5200.500000,5158.500000,5162.000000,-16.500000,5619.500000,4916.500000
10:31:36,5163.000000,43.000000,30182.000000,606.000000,5165.000000,782.000000,164699.000000,902.000000,5177.000000,5200.500000,5158.500000,5164.500000,-14.000000,5619.500000,4916.500000
10:32:36,5161.500000,124.000000,30117.000000,614.000000,5164.000000,516.000000,164523.000000,912.000000,5177.000000,5200.500000,5158.500000,5162.000000,-16.500000,5619.500000,4916.500000
10:33:36,5162.000000,14.000000,30444.000000,614.000000,5163.000000,701.000000,165096.000000,924.000000,5177.000000,5200.500000,5158.500000,5163.500000,-15.000000,5619.500000,4916.500000
10:34:37,5162.000000,190.000000,30654.000000,616.000000,5163.500000,270.000000,165425.000000,931.000000,5177.000000,5200.500000,5158.500000,5162.000000,-16.500000,5619.500000,4916.500000
10:35:37,5162.500000,212.000000,30966.000000,637.000000,5164.000000,694.000000,165717.000000,927.000000,5177.000000,5200.500000,5158.500000,5164.000000,-14.500000,5619.500000,4916.500000
10:36:37,5165.500000,78.000000,31482.000000,645.000000,5166.500000,250.000000,163761.000000,919.000000,5177.000000,5200.500000,5158.500000,5165.500000,-13.000000,5619.500000,4916.500000
10:37:37,5168.000000,167.000000,30920.000000,648.000000,5169.500000,6.000000,163528.000000,901.000000,5177.000000,5200.500000,5158.500000,5169.500000,-9.000000,5619.500000,4916.500000
10:38:37,5164.000000,36.000000,30162.000000,637.000000,5165.500000,845.000000,164716.000000,929.000000,5177.000000,5200.500000,5158.500000,5165.500000,-13.000000,5619.500000,4916.500000
10:39:37,5162.500000,80.000000,32012.000000,644.000000,5163.000000,700.000000,165871.000000,941.000000,5177.000000,5200.500000,5158.500000,5162.500000,-16.000000,5619.500000,4916.500000
10:40:37,5162.000000,42.000000,32142.000000,649.000000,5163.000000,3.000000,166805.000000,950.000000,5177.000000,5200.500000,5158.500000,5162.500000,-16.000000,5619.500000,4916.500000
10:41:37,5162.000000,21.000000,32159.000000,654.000000,5163.000000,249.000000,166213.000000,950.000000,5177.000000,5200.500000,5158.500000,5162.000000,-16.500000,5619.500000,4916.500000
10:42:37,5162.000000,145.000000,32430.000000,663.000000,5162.500000,45.000000,165029.000000,949.000000,5177.000000,5200.500000,5158.500000,5162.500000,-16.000000,5619.500000,4916.500000
10:43:37,5160.500000,39.000000,31930.000000,648.000000,5161.500000,470.000000,166042.000000,955.000000,5177.000000,5200.500000,5156.500000,5161.500000,-17.000000,5619.500000,4916.500000
10:44:37,5160.500000,160.000000,31914.000000,655.000000,5161.500000,70.000000,165286.000000,957.000000,5177.000000,5200.500000,5156.500000,5160.500000,-18.000000,5619.500000,4916.500000
10:45:37,5163.000000,43.000000,32696.000000,678.000000,5164.000000,114.000000,164930.000000,950.000000,5177.000000,5200.500000,5156.500000,5163.000000,-15.500000,5619.500000,4916.500000
10:46:37,5163.000000,184.000000,32529.000000,679.000000,5163.500000,115.000000,164785.000000,954.000000,5177.000000,5200.500000,5156.500000,5163.000000,-15.500000,5619.500000,4916.500000
10:47:37,5162.000000,225.000000,32468.000000,677.000000,5163.000000,170.000000,165834.000000,961.000000,5177.000000,5200.500000,5156.500000,5162.500000,-16.000000,5619.500000,4916.500000
10:48:37,5162.000000,134.000000,32376.000000,678.000000,5163.000000,70.000000,165731.000000,963.000000,5177.000000,5200.500000,5156.500000,5162.000000,-16.500000,5619.500000,4916.500000
10:49:37,5161.500000,195.000000,32642.000000,678.000000,5162.000000,109.000000,166163.000000,967.000000,5177.000000,5200.500000,5156.500000,5162.500000,-16.000000,5619.500000,4916.500000
10:50:37,5163.500000,115.000000,32933.000000,692.000000,5164.000000,100.000000,166067.000000,959.000000,5177.000000,5200.500000,5156.500000,5163.500000,-15.000000,5619.500000,4916.500000
10:51:37,5163.500000,163.000000,32939.000000,699.000000,5164.000000,219.000000,165345.000000,959.000000,5177.000000,5200.500000,5156.500000,5164.000000,-14.500000,5619.500000,4916.500000
10:52:37,5160.000000,141.000000,32353.000000,687.000000,5160.500000,287.000000,166115.000000,970.000000,5177.000000,5200.500000,5156.500000,5160.500000,-18.000000,5619.500000,4916.500000
10:53:37,5159.000000,124.000000,30981.000000,691.000000,5160.500000,238.000000,164956.000000,965.000000,5177.000000,5200.500000,5155.500000,5160.000000,-18.500000,5619.500000,4916.500000
10:54:37,5158.000000,24.000000,31115.000000,695.000000,5159.000000,246.000000,165728.000000,981.000000,5177.000000,5200.500000,5155.500000,5159.000000,-19.500000,5619.500000,4916.500000
10:55:37,5157.500000,94.000000,31188.000000,697.000000,5159.000000,120.000000,166317.000000,983.000000,5177.000000,5200.500000,5155.500000,5158.000000,-20.500000,5619.500000,4916.500000
10:56:37,5157.500000,116.000000,31223.000000,705.000000,5159.000000,270.000000,165869.000000,981.000000,5177.000000,5200.500000,5155.500000,5159.000000,-19.500000,5619.500000,4916.500000
10:57:37,5157.000000,15.000000,31241.000000,702.000000,5158.000000,1.000000,166957.000000,984.000000,5177.000000,5200.500000,5155.500000,5158.000000,-20.500000,5619.500000,4916.500000
10:58:37,5159.500000,170.000000,32049.000000,720.000000,5160.000000,471.000000,165628.000000,978.000000,5177.000000,5200.500000,5155.500000,5160.000000,-18.500000,5619.500000,4916.500000
10:59:38,5159.000000,137.000000,32321.000000,741.000000,5160.500000,332.000000,164799.000000,975.000000,5177.000000,5200.500000,5155.500000,5161.000000,-17.500000,5619.500000,4916.500000
11:00:37,5160.500000,70.000000,32329.000000,742.000000,5161.500000,42.000000,166039.000000,981.000000,5177.000000,5200.500000,5155.500000,5161.500000,-17.000000,5619.500000,4916.500000
11:01:38,5160.500000,43.000000,32166.000000,744.000000,5161.000000,163.000000,165304.000000,981.000000,5177.000000,5200.500000,5155.500000,5160.500000,-18.000000,5619.500000,4916.500000
